"","nama","harga","seller","terjual","tanggal_ambil_data"
"90","Borges Extra Light Olive Oil Minyak Zaitun 1lt","Rp175.000","HouseHerbal","Terjual 94 Produk",2020-09-04
"91","Extra Virgin Olive Oil/Minyak Zaitun/Repack 200 Ml","Rp35.000","Syah-House","Terjual 247 Produk",2020-09-04
"92","OLIVE OIL / CESAR POMACE OIL (5ltr)","Rp330.000","HEANSA KIMIA","Terjual 247 Produk",2020-09-04
"93","Borges Extra Virgin Olive Oil Minyak Zaitun 1lt","Rp215.000","HouseHerbal","Terjual 95 Produk",2020-09-04
"94","Olive Oil for Kids merk Casa Di Oliva","Rp59.500","Griya Bayi","Terjual 264 Produk",2020-09-04
"95","Pure Olive (Zaitun) Oil 60ml - Cosmetic Grade Cold Pressed","Rp53.000","Natural Hut","Terjual 155 Produk",2020-09-04
"96","MINYAK ZAITUN MURNI / PURE OLIVE OIL","Rp30.000","Fantasy Design","Terjual 270 Produk",2020-09-04
"97","SESA - Extra Virgin Olive Oil - 1 L","Rp149.900","SESA Official","Terjual 141 Produk",2020-09-04
"98","Casa di Oliva EVOO Extra Virgin Olive Oil For Kids 250 ml","Rp57.500","Klik Buy & Fun","Terjual 312 Produk",2020-09-04
"99","Bertolli Extra Light Olive Oil 500ml","Rp85.000","ceva","Terjual 119 Produk",2020-09-04
"100","Casa De Oliva Extra Virgin Olive Oil (EVOO) 250ml","Rp60.000","BooBoo Baby","Terjual 135 Produk",2020-09-04
"101","Bertolli Classico Olive Oil 500ml","Rp85.000","ceva","Terjual 73 Produk",2020-09-04
"102","Minyak Zaitun BORGES Extra Virgin Olive Oil 500 ml - BORGES 500 ml","Rp104.000","Subur Kimia Jaya","Terjual 141 Produk",2020-09-04
"103","PURE OLIVE OIL FILIPPO 250ML","Rp45.000","MSmartshop OL","Terjual 145 Produk",2020-09-04
"104","Casa di Olivia Extra Virgin Olive Oil","Rp64.000","hamimamy","Terjual 172 Produk",2020-09-04
"105","Organic Extra Virgin Olive Oil/Bragg/473ml/16oz","Rp255.000","Sukses Organic Shop","Terjual 173 Produk",2020-09-04
"106","BERTOLLI CLASSICO OLIVE OIL 500ML","Rp80.000","MOMOGO ID","Terjual 186 Produk",2020-09-04
"107","Minyak Zaitun Leriche / Le riche / Lerichi Olive oil 300 ml Original","Rp30.000","Nayla Agency","Terjual 305 Produk",2020-09-04
"108","Extra Virgin Olive Oil / Minyak Zaitun Murni 5 LTR Antica Tradizione","Rp500.000","Food Republic","Terjual 114 Produk",2020-09-04
"109","OLIVE POMACE OIL GIUSEPPE CREMONINI 5 LITER","Rp325.000","Phon Store","Terjual 256 Produk",2020-09-04
"110","Borges Extra Virgin Olive Oil Minyak Zaitun 250 ml","Rp59.500","HouseHerbal","Terjual 108 Produk",2020-09-04
"111","minyak zaitun olive oil al ghuroba 1 liter (pulau jawa)","Rp107.000","pamungkas adi winoto","Terjual 138 Produk",2020-09-04
"112","Bertolli Extra Virgin Olive Oil / Minyak Zaitun 500ml","Rp89.000","Herbs & Co","Terjual 121 Produk",2020-09-04
"113","Geofoods Tartufo Nero White Truffle Olive Oil","Rp259.000","Olivier","Terjual 403 Produk",2020-09-04
"114","Minyak Zaitun Extra Virgin Olive Oil Borges 125ml","Rp25.999","TokoSurabaya","Terjual 414 Produk",2020-09-04
"115","Bertolli Extra Virgin Olive Oil Minyak Zaitun 500 ml","Rp92.000","HouseHerbal","Terjual 74 Produk",2020-09-04
"116","Minyak Zaitun Le Riche Olive Oil LeRiche 300ml","Rp49.000","Andrie Gallery","Terjual 195 Produk",2020-09-04
"117","ECOZEST Olive Oil 500 ml","Rp109.000","Ecozest","Terjual 77 Produk",2020-09-04
"118","Borges Extra Virgin Olive Oil - 250 ml","Rp63.000","Genki Plant","Terjual 111 Produk",2020-09-04
"119","Bertolli Extra Light Olive Oil - 500 ml","Rp92.000","Genki Plant","Terjual 87 Produk",2020-09-04
"120","BORGES Extra Virgin Olive Oil Minyak Zaitun [125 mL]/4 Pcs","Rp108.000","FingerLand","Terjual 167 Produk",2020-09-04
"121","Casa di Oliva Extra Virgin Olive Oil for Kids","Rp79.000","Liana Baby","Terjual 96 Produk",2020-09-04
"122","Pomace Olive Oil / Minyak Zaitun Pomace 100 ml","Rp19.500","Subur Kimia Jaya","Terjual 134 Produk",2020-09-04
"123","Bertolli 100% Extra Light Tasting Olive Oil - 500 Ml","Rp95.000","House Of Organix","Terjual 116 Produk",2020-09-04
"124","Extra Virgin Olive Oil ( EVOO) - Casa di Oliva - Minyak Zaitun Anak","Rp59.900","AUDREL BABYSHOP","Terjual 87 Produk",2020-09-04
"125","Minyak Zaitun Extra Virgin Olive Oil Borges 125 ml 125ml","Rp25.999","TokoSurabaya","Terjual 377 Produk",2020-09-04
"126","Minyak Zaitun Le riche 300ml - Leriche 300ml - Olive Oil","Rp31.000","LAPAK MABRUUK","Terjual 382 Produk",2020-09-04
"127","Bertolli Classico Olive Oil 500 ML / Minyak Zaitun Minyak Goreng Halal","Rp83.000","Food Republic","Terjual 195 Produk",2020-09-04
"128","BERTOLLI CLASSICO OLIVE OIL (1 L)","Rp162.000","BestCMart","Terjual 128 Produk",2020-09-04
"129","olive oil pomace minyak zaitun pomace merek olitalia 5 liter","Rp360.000","TURKISH EVIER","Terjual 229 Produk",2020-09-04
"130","Minyak Zaitun Lerici Leriche Olive oil 300 ml","Rp29.400","Al - Mubarok Store","Terjual 245 Produk",2020-09-04
"131","PURE OLIVE OIL FILIPPO 1LITER","Rp167.000","MSmartshop OL","Terjual 156 Produk",2020-09-04
"132","Dougo Extra Virgin Olive Oil 1 Ltr","Rp159.000","Pandurasa Official Store","Terjual 107 Produk",2020-09-04
"133","Olive Oil Al Arobi","Rp15.000","Fadiyah Shop","Terjual 259 Produk",2020-09-04
"134","Bertolli Extra Light Olive Oil Minyak Zaitun 1 liter","Rp170.000","HouseHerbal","Terjual 76 Produk",2020-09-04
"135","NIGELLA OLIVE OIL","Rp120.000","ZAITUN masia el altet","Terjual 103 Produk",2020-09-04
"136","BERTOLLI CLASSICO OLIVE OIL (500ML)","Rp84.000","BestCMart","Terjual 123 Produk",2020-09-04
"137","Borges EVOO 250ml Extra Virgin Olive Oil Minyak Zaitun","Rp65.000","Jingga Daily","Terjual 87 Produk",2020-09-04
"138","Bertolli Classico Olive Oil 1 LTR / Minyak Zaitu Minyak Goreng Halal","Rp160.000","Food Republic","Terjual 132 Produk",2020-09-04
"139","TERMURAH Bertoli Extra Light Olive Oil 3 Liter Minyak Bertolli 3 ltr","Rp410.000","NicoNicoShop","Terjual 118 Produk",2020-09-04
"140","Borges Extra Virgin Olive Oil 125 ml - TANPA BUBBLE","Rp22.999","Mulia Shop","Terjual 276 Produk",2020-09-04
"141","Bertolli Extra Light Olive Oil 3L / Minyak Zaitun","Rp410.000","W-jaya Store","Terjual 199 Produk",2020-09-04
"142","MINYAK ZAITUN AFRA JAITUN AFRA 250ML EKTRA VIRGIN OLIVE OIL MURNI","Rp62.500","warung campuhan","Terjual 92 Produk",2020-09-04
"143","CO.E OLIVE OIL KEMIRI - KEMIRI OIL ( MINYAK KEMIRI )","Rp28.000","SYB OFFICIAL","Terjual 241 Produk",2020-09-04
"144","Borges Extra Virgin Olive Oil Minyak Zaitun [1 L]","Rp208.000","FingerLand","Terjual 134 Produk",2020-09-04
"145","bertoli extra virgin olive oil 500 ml","Rp92.000","Kurakushop","Terjual 89 Produk",2020-09-04
"146","Casa Di Oliva Kids, Extra Virgin Olive Oil, Zaitun utk Bayi dan Anak","Rp75.000","Rufda","Terjual 138 Produk",2020-09-04
"147","Minyak Zaitun Al Afiat Extra Virgin Olive Oil 350 ML Zaitun Oil Murni","Rp54.100","Amanah Herbal Surabaya","Terjual 141 Produk",2020-09-04
"148","Bertolli Classico Olive Oil - Minyak Zaitun Classico 250ml","Rp45.900","TheOnlineGrocer","Terjual 82 Produk",2020-09-04
"149","Minyak Zaitun 250ml Palestine Rumman|Extra Virgin Olive Oil Palestina","Rp55.000","Ziyadah Herbal","Terjual 93 Produk",2020-09-04
"150","Minyak Zaitun Murni Al Afiat BPOM | Extra Virgin Olive Oil","Rp18.500","Sumber & Waras","Terjual 150 Produk",2020-09-04
"151","BORGES Grapeseed Olive Oil Minyak Zaitun [500 mL]","Rp60.000","FingerLand","Terjual 177 Produk",2020-09-04
"152","Minyak zaitun pomace 5liter CESAR pomace olive oil","Rp370.000","baabsyareef","Terjual 134 Produk",2020-09-04
"153","CASA DI OLIVA EVOO FOR KIDS EXTRA VIRGIN OLIVE OIL 250 ml","Rp67.500","annabelle-shop","Terjual 194 Produk",2020-09-04
"154","Minyak Olive Oil Bertolli Extra Virgin 3 Liter","Rp440.000","SerbaSherbi","Terjual 173 Produk",2020-09-04
"155","Filippo Berio Extra Virgin Olive Oil (EVOO) 250ml/Minyak Zaitun","Rp54.500","Sukses Organic Shop","Terjual 96 Produk",2020-09-04
"156","EVOO FOR KIDS (EXTRA VIRGIN OLIVE OIL)","Rp70.000","bumbuorganik","Terjual 71 Produk",2020-09-04
"157","Extra Virgin Olive Oil 250ml","Rp53.000","Kebun Kita","Terjual 122 Produk",2020-09-04
"158","MINYAK ZAITUN RS 500ML | EXTRA VIRGIN OLIVE OIL","Rp97.500","Mulus Herbal","Terjual 79 Produk",2020-09-04
"159","Bertolli 100% Extra Light Tasting Olive Oil - 1 Liter","Rp175.000","House Of Organix","Terjual 102 Produk",2020-09-04
"160","Bertolli Extra Light Olive Oil 250ml","Rp47.500","ceva","Terjual 67 Produk",2020-09-04
"161","Bertolli Extra Virgin Olive Oil - 500 ml","Rp95.000","Genki Plant","Terjual 67 Produk",2020-09-04
